rowid;categoria;sku;marca;preco;img
0;sorveteria;2336;Glucose em Pó Indemil 25 KG;R$ 235;https://cdn.awsli.com.br/300x300/1284/1284671/produto/231240362/glucose-em-po-mor-rex-1940-25g-ingredientes-online-verso-5mhc8pit9h.jpg
1;sorveteria;790;Amido de Milho Indemil 25KG;R$ 130;https://cdn.awsli.com.br/300x300/1284/1284671/produto/261702661/218119-78r1fy8fil.jpg
2;sorveteria;555;Super Liga Neutra Selecta Pacote 1kg;R$ 24;https://cdn.awsli.com.br/300x300/1284/1284671/produto/91623409/13f037b45d.jpg
3;sorveteria;527;Saborizante Sorvete Algemix Selecta - Milho Verde 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88489558/49d479f92e.jpg
4;sorveteria;497;Saborizante Sorvete Algemix Selecta - Coco 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88486749/c26fb570b8.jpg
5;sorveteria;671;Selecta Tropical Açaí 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52962876/cd986e6c61.jpg
6;sorveteria;500;Saborizante Sorvete Algemix Selecta - Leite Condensado 1 kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/85832208/39bf13ed01.jpg
7;sorveteria;481;Saborizante Sorvete Algemix Selecta - Blue Ice 1 kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/84470770/e9d004c8d1.jpg
8;sorveteria;4;Emustab Laranja 1 KG;R$ 34;https://cdn.awsli.com.br/300x300/1284/1284671/produto/84750271/8519a6ab98.jpg
9;sorveteria;399;Chantilly Topping 10kg;R$ 335;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763357/fa519f1e9a.jpg
10;sorveteria;1504;Emustab DR 10kg;R$ 189;https://cdn.awsli.com.br/300x300/1284/1284671/produto/54777139/186955d63b.jpg
11;sorveteria;2009;Selecta Max Cream 500 g;R$ 24;https://cdn.awsli.com.br/300x300/1284/1284671/produto/49763358/8c0bcb7705.jpg
12;sorveteria;1247;Selecta Plus Base Zero Para Leite 800G;R$ 32;https://cdn.awsli.com.br/300x300/1284/1284671/produto/115520352/1532d751d4.jpg
13;sorveteria;526;Saborizante Sorvete Algemix Selecta - Morango 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88489676/1c9bbfb425.jpg
14;sorveteria;625;Saborizante Sorvete Algemix Selecta - Maracujá 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88488346/0af4b5a71c.jpg
15;sorveteria;494;Saborizante Sorvete Algemix Selecta - Creme 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88368608/ab9ca53b37.jpg
16;sorveteria;628;Saborizante Sorvete Algemix Selecta - Nata 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/88489870/9c5df98a84.jpg
17;sorveteria;502;Saborizante Sorvete Algemix Selecta - Abacaxi 1 kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/84407005/57f306c810.jpg
18;sorveteria;950;Saborizante Sorvete Algemix Selecta - Pistache 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53360685/8892fba134.jpg
19;sorveteria;1630;Saborizante Sorvete Algemix Selecta - Manga 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53356665/9f1c776f3c.jpg
