cnpj	cnpj_raiz	filial_numero	razao_social	nome_fantasia	data_abertura	situacao_cadastral	logradouro	numero	bairro	municipio	uf	atividade_principal	cnpj_mei	versao
36951047000188	36951047	1	MARCELO MONTRAZI POINT ORANGE		2020-04-16T00:00:00Z	ATIVA	RUA MARINGA	202	PARQUE TAQUARAL	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
03798831000149	03798831	1	LERVI DA SILVA PIRACICABA	SORVETERIA THALES	2000-03-27T00:00:00Z	ATIVA	AVENIDA THALES CASTANHO DE ANDRADE	1231	JARDIM DAS FLORES	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
06928096000139	06928096	1	NATUICE INDUSTRIA E COMERCIO DE SORVETES LTDA		2004-08-13T00:00:00Z	ATIVA	RUA ANTONIO DEGASPARI (IND UNINORTE II)	1291	AGUA SANTA	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
12022193000160	12022193	1	DAVID VASCONCELOS FUGGI CARDOSO	SORVETERIA FUGGI	2010-03-16T00:00:00Z	ATIVA	AVENIDA SO PAULO	454	PAULICEIA	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
54198644000165	54198644	1	SORVETERIA SOL DE VERAO PIRACICABA LTDA	SORVETERIA SOL DE VERAO	2024-03-05T00:00:00Z	ATIVA	RUA DOUTOR RODOLPHO DE CAMARGO	293	CONJUNTO RESIDENCIAL MARIO DEDINI	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
42459153000141	42459153	1	AF COMERCIO DE SORVETES LTDA	MILK SHAKE UP	2021-06-24T00:00:00Z	ATIVA	RUA GUERINO LUBIANI	770	DOIS CORREGOS	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
00420980000181	00420980	1	BEMBOLADO INDUSTRIA DE SORVETES LTDA	BEMBOLADOS SORVETES	1995-01-30T00:00:00Z	ATIVA	RUA MANAUS	95	CHACARA ESPERIA	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
37928666000114	37928666	1	MAISTRO E MATRAIA ALIMENTOS LTDA	DOCEBERRY	2020-07-31T00:00:00Z	ATIVA	RUA ANTONIO PAULINO	42	AGUA BRANCA (RESID. SAO LUIZ)	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
33921601000196	33921601	1	JAIR DOVIZIO JUNIOR		2019-06-13T00:00:00Z	ATIVA	AVENIDA MANOEL CONCEICAO	415	VILA REZENDE	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
39534918000156	39534918	1	DENALI INDUSTRIA E COMERCIO DE ALIMENTOS CONGELADOS LTDA	DENALI ICE	2020-10-23T00:00:00Z	ATIVA	RUA ANTONIO REINALDO ZANIN	294	PARQUE CONCEICAO	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
